"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"388",8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,NA
"389",7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,NA
"392",13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,NA
"393",9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,NA
"395",12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,NA
"396",12,0.37,0.76,4.2,0.066,7,38,1.0004,3.22,0.6,13,NA
"397",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,NA
"399",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,NA
"400",8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,NA
"401",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,NA
"403",12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,NA
"404",11.4,0.6,0.49,2.7,0.085,10,41,0.9994,3.15,0.63,10.5,NA
"405",7.7,0.69,0.05,2.7,0.075,15,27,0.9974,3.26,0.61,9.1,NA
"407",9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,NA
"408",12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,NA
"409",10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,NA
"411",9,0.43,0.34,2.5,0.08,26,86,0.9987,3.38,0.62,9.5,NA
"413",7.1,0.735,0.16,1.9,0.1,15,77,0.9966,3.27,0.64,9.3,NA
"414",9.9,0.4,0.53,6.7,0.097,6,19,0.9986,3.27,0.82,11.7,NA
"416",8.6,0.725,0.24,6.6,0.117,31,134,1.0014,3.32,1.07,9.3,NA
"417",10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,NA
"419",11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,NA
"421",9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,NA
"422",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,NA
"423",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,NA
"424",10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,NA
"428",9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,NA
"429",9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,NA
"430",12.8,0.84,0.63,2.4,0.088,13,35,0.9997,3.1,0.6,10.4,NA
"431",10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,NA
"432",7.8,0.55,0.35,2.2,0.074,21,66,0.9974,3.25,0.56,9.2,NA
"434",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,NA
"435",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,NA
"436",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,NA
"437",8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,NA
"439",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,NA
"440",7,0.62,0.18,1.5,0.062,7,50,0.9951,3.08,0.6,9.3,NA
"441",12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,NA
"445",5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,NA
"446",9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,NA
"447",12.5,0.38,0.6,2.6,0.081,31,72,0.9996,3.1,0.73,10.5,NA
"448",9.3,0.48,0.29,2.1,0.127,6,16,0.9968,3.22,0.72,11.2,NA
"449",8.6,0.53,0.22,2,0.1,7,27,0.9967,3.2,0.56,10.2,NA
"450",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,NA
"451",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,NA
"452",8.4,0.37,0.53,1.8,0.413,9,26,0.9979,3.06,1.06,9.1,NA
"453",6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,NA
"455",7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,NA
"456",11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,NA
"462",8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,NA
"465",11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,NA
"466",10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,NA
"467",10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,NA
"468",8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,NA
"469",11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,NA
"470",8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,NA
"472",9.6,0.54,0.42,2.4,0.081,25,52,0.997,3.2,0.71,11.4,NA
"475",10.5,0.28,0.51,1.7,0.08,10,24,0.9982,3.2,0.89,9.4,NA
"476",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,NA
"477",9.3,0.27,0.41,2,0.091,6,16,0.998,3.28,0.7,9.7,NA
"479",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,NA
"484",10.6,0.36,0.6,2.2,0.152,7,18,0.9986,3.04,1.06,9.4,NA
"486",10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,NA
"488",10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,NA
"494",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,NA
"495",6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,NA
"498",7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,NA
"499",10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,NA
"500",8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,NA
"501",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,NA
"502",10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,NA
"505",10.5,0.24,0.42,1.8,0.077,6,22,0.9976,3.21,1.05,10.8,NA
"507",10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,NA
"508",11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,NA
"509",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,NA
"510",13.3,0.29,0.75,2.8,0.084,23,43,0.9986,3.04,0.68,11.4,NA
"513",10.7,0.4,0.48,2.1,0.125,15,49,0.998,3.03,0.81,9.7,NA
"515",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,NA
"518",10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,NA
"519",10.9,0.21,0.49,2.8,0.088,11,32,0.9972,3.22,0.68,11.7,NA
"523",8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,NA
"524",9.3,0.4,0.49,2.5,0.085,38,142,0.9978,3.22,0.55,9.4,NA
"525",9.2,0.43,0.49,2.4,0.086,23,116,0.9976,3.23,0.64,9.5,NA
"533",11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,NA
"534",10.3,0.27,0.24,2.1,0.072,15,33,0.9956,3.22,0.66,12.8,NA
"535",10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,NA
"538",8.1,0.825,0.24,2.1,0.084,5,13,0.9972,3.37,0.77,10.7,NA
"541",9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,NA
"544",11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,NA
"545",14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,NA
"548",10.6,0.31,0.49,2.5,0.067,6,21,0.9987,3.26,0.86,10.7,NA
"549",12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,NA
"551",6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,NA
"552",9.4,0.43,0.24,2.8,0.092,14,45,0.998,3.19,0.73,10,NA
"553",9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,NA
"555",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,NA
"556",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,NA
"557",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,NA
"558",15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,NA
"559",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,NA
"560",13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,NA
"562",9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,NA
"563",9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,NA
"564",7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,NA
"565",13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,NA
"567",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,NA
"568",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,NA
"570",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,NA
"571",11.5,0.35,0.49,3.3,0.07,10,37,1.0003,3.32,0.91,11,NA
"572",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,NA
"574",10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,NA
"575",10.6,0.34,0.49,3.2,0.078,20,78,0.9992,3.19,0.7,10,NA
"576",12.3,0.27,0.49,3.1,0.079,28,46,0.9993,3.2,0.8,10.2,NA
"577",9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,NA
"578",8.8,0.44,0.49,2.8,0.083,18,111,0.9982,3.3,0.6,9.5,NA
"579",8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,NA
"580",10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,NA
"581",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,NA
"582",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,NA
"583",11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,NA
"585",11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,NA
"586",7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,NA
"587",11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,NA
"588",7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,NA
"591",9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,NA
"593",9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,NA
"594",9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,NA
"595",7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,NA
"596",8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,NA
"597",12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,NA
"598",11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,NA
"599",8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,NA
"600",12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,NA
"602",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,NA
"604",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,NA
"608",8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,NA
"609",10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,NA
"610",6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,NA
"611",8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,NA
"612",13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,NA
"613",7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,NA
"616",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,NA
"617",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,NA
"624",7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,NA
"628",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,NA
"629",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,NA
"631",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,NA
"632",10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,NA
"633",7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,NA
"635",7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,NA
"639",7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,NA
"641",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,NA
"642",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,NA
"643",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,NA
"644",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,NA
"648",8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,NA
"651",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,NA
"652",9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,NA
"655",8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,NA
"656",9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,NA
"657",10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,NA
"658",12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,NA
"661",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,NA
"663",7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,NA
"665",12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,NA
"667",8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,NA
"672",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,NA
"673",9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,NA
"675",10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,NA
"676",9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,NA
"679",8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,NA
"680",10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,NA
"681",13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,NA
"686",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,NA
"687",7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,NA
"690",8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,NA
"692",9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,NA
"693",8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,NA
"695",9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,NA
"696",5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,NA
"700",11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,NA
"701",10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,NA
"704",7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,NA
"709",7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,NA
"711",10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,NA
"713",8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,NA
"714",8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,NA
"716",7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,NA
"717",8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,NA
"718",7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,NA
"721",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,NA
"723",7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,NA
"725",7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,NA
"728",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,NA
"729",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,NA
"730",6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,NA
"734",7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,NA
"735",7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,NA
"736",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,NA
"737",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,NA
"739",9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,NA
"740",9,0.69,0,2.4,0.088,19,38,0.999,3.35,0.6,9.3,NA
"742",9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,NA
"744",11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,NA
"745",11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,NA
"748",8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,NA
"749",7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,NA
"750",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,NA
"759",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,NA
"761",9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,NA
"763",8.8,0.7,0,1.7,0.069,8,19,0.99701,3.31,0.53,10,NA
"766",9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,NA
"768",7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,NA
"769",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,NA
"772",9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,NA
"775",7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,NA
"776",7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,NA
"777",6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,NA
"779",8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,NA
"780",7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,NA
"782",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,NA
"784",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,NA
"785",7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,NA
"786",9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,NA
"787",9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,NA
"792",8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,NA
"793",7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,NA
"794",7.7,0.6,0,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,NA
"795",10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,NA
"798",9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,NA
"800",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,NA
"801",7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,NA
"802",8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,NA
"804",7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,NA
"805",8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,NA
"806",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,NA
"807",8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,NA
"808",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,NA
"810",7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,NA
"812",12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,NA
"814",6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,NA
"815",12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,NA
"817",9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,NA
"818",10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,NA
"822",4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,NA
"825",7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,NA
"830",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,NA
"832",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,NA
"834",11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,NA
"835",8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,NA
"838",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,NA
"839",10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,NA
"840",6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,NA
"841",11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,NA
"842",6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,NA
"844",7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,NA
"845",9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,NA
"846",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,NA
"847",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,NA
"848",7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,NA
"852",9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,NA
"853",8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,NA
"854",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,NA
"855",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,NA
"857",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,NA
"858",8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,NA
"861",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,NA
"865",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,NA
"867",6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,NA
"871",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,NA
"873",7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,NA
"874",9.1,0.21,0.37,1.6,0.067,6,10,0.99552,3.23,0.58,11.1,NA
"876",8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,NA
"877",7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,NA
"878",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,NA
"879",8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,NA
"880",7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,NA
"882",7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,NA
"883",8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,NA
"884",7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,NA
"885",8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,NA
"886",8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,NA
"887",9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,NA
"888",10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,NA
"889",6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,NA
"890",10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,NA
"891",7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,NA
"892",7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,NA
"893",10.1,0.45,0.23,1.9,0.082,10,18,0.99774,3.22,0.65,9.3,NA
"894",7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,NA
"896",7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,NA
"897",8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,NA
"898",7.1,0.59,0.01,2.3,0.08,27,43,0.9955,3.42,0.58,10.7,NA
"901",8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,NA
"902",7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,NA
"903",7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,NA
"904",6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,NA
"908",6.1,0.56,0,2.2,0.079,6,9,0.9948,3.59,0.54,11.5,NA
"909",7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,NA
"911",9.3,0.38,0.48,3.8,0.132,3,11,0.99577,3.23,0.57,13.2,NA
"913",10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,NA
